experimentPhase,trialnum,subject,task,noisePercent,targetLeftRightIfOne,streamsPerRing,whichStreamEachCue,resp0,button0,cuePos0,ansResp0,corrResp0,whichStreamResp0,whichRespCue0,respPosRelative0,resp1,button1,cuePos1,ansResp1,corrResp1,whichStreamResp1,whichRespCue1,respPosRelative1,resp2,button2,cuePos2,ansResp2,corrResp2,whichStreamResp2,whichRespCue2,respPosRelative2,ltrSequenceStream0,ltrSequenceStream1,ltrSequenceStream2,timingBlips,file,SOA,numTargets,corrStrm0,corrStrm1,corrStrm2,pCorrAll
main,0,Hubert,allCued,0,left,3,"[1, 0, 2]",F,0,10,T,0,1,0,-9,J,0,10,J,1,0,1,0,F,0,10,Q,0,2,2,1,TRQNXSIULEJYVBMZOKPADHFG,DFMUPZOBRLTJGEHXQASVIYKN,UHZESLNIGMQFOTAPXRKYDJVB,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,0,0,0.3333333333333333
main,1,Hubert,allCued,0,left,3,"[0, 2, 1]",G,0,6,F,0,0,0,1,K,0,6,V,0,2,1,-3,G,0,6,K,0,1,2,8,HKVUJZFGNMRXTPOYAIEBDQLS,OMFBRTKLAZYJSEGHNUVXPQID,UZTKDOVMSFAGHREBLJIPQNXY,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,0,0,0,0
main,2,Hubert,allCued,0,left,3,"[0, 2, 1]",R,0,8,U,0,0,0,7,O,0,8,N,0,2,1,-4,O,0,8,U,0,1,2,-2,SKEMJFPTUZHGYLIROBQVXDAN,FEIQGKONURHZDMTYSBVJAPXL,UZTYOJRENDVMKFQGLSHPXIBA,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,0,0,0,0
main,3,Hubert,twoCued,0,left,3,"[2, 0]",K,0,10,A,0,2,0,9,X,0,10,K,0,0,1,1,-999,-999,-999,-999,-999,-999,-999,-999,IQJDGRFYHPKXBOSAUNETLMVZ,JYDBHKMENQRVUSFZGTOPXILA,XVJQDFZPORAMUHSYETNKIGBL,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,0,NA,0,0
main,4,Hubert,allCued,0,left,3,"[0, 1, 2]",V,0,8,V,1,0,0,0,A,0,8,A,1,1,1,0,J,0,8,J,1,2,2,0,EQHFJAZDVOBMUXKGTPNRIYLS,PKDSUINQAMFBLEXJHTVGRYOZ,ETKBZYALJPDRQUISFXHNMGOV,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,1,1,1
main,5,Hubert,allCued,0,left,3,"[2, 0, 1]",E,0,9,E,1,2,0,0,V,0,9,V,1,0,1,0,B,0,9,P,0,1,2,1,HBTYDKQLUVZOXIGFAMPJRSEN,AHXGNLSKEPBQDOTRUZJIYFVM,HFBDUKNYRETLOJXPIVSMQAZG,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,0,1,0.6666666666666666
main,6,Hubert,twoCued,0,left,3,"[2, 1]",G,0,7,G,1,2,0,0,S,0,7,S,1,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,BIYSDEKHFPLTAMOZJVQUXGRN,TRLYGUMSAJEINZXBOVDPHQFK,NFTIUKSGEMXPZOQLBAHVYRJD,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,NA,1,1,1
main,7,Hubert,twoCued,0,left,3,"[2, 0]",B,0,8,B,1,2,0,0,D,0,8,D,1,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,UVGIYZABDRLMQNSOHTFXJEKP,OUGTPFZJRSNABIEHVLQKDMXY,HGEJSINFBRQZOLYKUVTMDAXP,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,1,NA,1,1
main,8,Hubert,twoCued,0,left,3,"[1, 0]",R,0,8,P,0,1,0,11,D,0,8,R,0,0,1,1,-999,-999,-999,-999,-999,-999,-999,-999,KOTSANMFRDUYGJIZEQLVXBPH,LJXVZMGYPHTUNBQDOISRFAKE,HMSTJDQBIVNRXZFULPKAOYGE,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,0,0,NA,0
main,9,Hubert,allCued,0,left,3,"[2, 0, 1]",I,0,9,V,0,2,0,10,O,0,9,O,1,0,1,0,G,0,9,G,1,1,2,0,QJTYKBVZIOLSUPRNDEMFGXHA,BQJHSXDRTGIKPEOMNLZUFVAY,DPSMAOHKRVLBXZNGEQFIJUYT,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,1,0,0.6666666666666666
main,10,Hubert,twoCued,0,left,3,"[0, 2]",M,0,8,M,1,0,0,0,X,0,8,Z,0,2,1,6,-999,-999,-999,-999,-999,-999,-999,-999,PJZKYFEQMRTGHLXVUDISAOBN,XSQGPYKFBVRUIDZEATNJLMHO,RNSDEQPFZJTGIYXKVMUOLBHA,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,1,NA,0,0.5
main,11,Hubert,allCued,0,left,3,"[0, 1, 2]",P,0,6,P,1,0,0,0,B,0,6,O,0,1,1,4,O,0,6,D,0,2,2,7,OSFMZNPBURKIYTXQHVJLGADE,SNYTAROXVMBHFDZUGJLEKQPI,PXINSYDUHTRLVOAGFZJQMKBE,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,0,0,0.3333333333333333
main,12,Hubert,allCued,0,left,3,"[1, 2, 0]",N,0,8,N,1,1,0,0,Z,0,8,I,0,2,1,1,H,0,8,N,0,0,2,5,OMXJSPZGNUKDRHYFEQILBVAT,FTBXYKHDNPUZAQSIJREOMVGL,PVFOGNELIZRXHMJBUTSKADQY,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,0,1,0,0.3333333333333333
main,13,Hubert,twoCued,0,left,3,"[2, 0]",S,0,6,S,1,2,0,0,R,0,6,R,1,0,1,0,-999,-999,-999,-999,-999,-999,-999,-999,JBDKNYRUPVELOMSZHATGFXIQ,OXNBJDGLZRHTVAUMFSPEQYKI,EPANOVSJXLMKFTUBQYHZDRIG,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,1,NA,1,1
main,14,Hubert,twoCued,0,left,3,"[1, 2]",T,0,10,T,1,1,0,0,A,0,10,A,1,2,1,0,-999,-999,-999,-999,-999,-999,-999,-999,XLPUEKSAQBMZVYROIFTNJGDH,FNOUZEYPSHTGJRMQKBVIDALX,LNJPUYESMGAIKBTVQRXHODFZ,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,NA,1,1,1
main,15,Hubert,allCued,0,left,3,"[2, 1, 0]",X,0,10,I,0,2,0,-3,I,0,10,K,0,1,1,-5,X,0,10,Q,0,0,2,1,DALVRTOJNKQXSHZEUMPFGIYB,ENGROIZQYJKTUHAVPMSBXLDF,ELPZKVQXTHIASFGORBMDNJUY,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,0,0,0,0
main,16,Hubert,twoCued,0,left,3,"[1, 2]",N,0,10,J,0,1,0,1,P,0,10,P,1,2,1,0,-999,-999,-999,-999,-999,-999,-999,-999,VXMSBAKGIQJLUOTYNDFPRHZE,AUORVITPSZJNQEMBGDLXKHFY,GZYQRTDEUVPINJXMLSFBAOKH,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,NA,0,1,0.5
main,17,Hubert,allCued,0,left,3,"[1, 2, 0]",G,0,9,S,0,1,0,10,O,0,9,G,0,2,1,2,Q,0,9,G,0,0,2,-6,UOMQSHXNEGLRFAZJVDTIPKBY,BJXVITNHPSRLQZEUDAYGFKOM,BPTVNUQYKGDOXAFHRLESIZMJ,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,0,0,0,0
main,18,Hubert,allCued,0,left,3,"[1, 0, 2]",R,0,6,R,1,1,0,0,R,0,6,R,1,0,1,0,X,0,6,X,1,2,2,0,DJPUZTRVOMEQNLYBSFGXAKIH,IQOHBNRXYMEVDKAFSPLJZGTU,JGSAHYXZUFRTMEOIDLQNVKPB,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,1,1,1
main,19,Hubert,twoCued,0,left,3,"[0, 2]",Z,0,9,Z,1,0,0,0,M,0,9,M,1,2,1,0,-999,-999,-999,-999,-999,-999,-999,-999,VOYSDGEKFZRIANTBQXPHUJLM,BXFDREVAMJNLSGQTKPUIYHOZ,OKTXHFGQLMEUIRZVAYDJPNBS,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,1,NA,1,1
main,20,Hubert,twoCued,0,left,3,"[2, 0]",M,0,9,L,0,2,0,-9,L,0,9,G,0,0,1,-5,-999,-999,-999,-999,-999,-999,-999,-999,UINVLJHOXGPZBTSAMEQFYRDK,QHFJMOVBLNKXZEYDAGUPRIST,MPUEXNJRVLTFSBHOKYAIDGZQ,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,0,NA,0,0
main,21,Hubert,twoCued,0,left,3,"[2, 1]",F,0,6,B,0,2,0,3,L,0,6,F,0,1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,MXKLFIJSNHARZPGOUBQYDVTE,KHPOTUFLDQBVMESYANGRIXZJ,IVPUGABQMFXLSJKOERZDNHTY,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,NA,0,0,0
main,22,Hubert,allCued,0,left,3,"[0, 2, 1]",P,0,7,P,1,0,0,0,X,0,7,X,1,2,1,0,U,0,7,U,1,1,2,0,KRDISELPVYJQUTXBGZNMHAOF,TPDLRZEUSVAJBXNYFOMQGKHI,RJKEBQIXTUZGAPNFYMDLHVOS,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,1,1,1
main,23,Hubert,twoCued,0,left,3,"[0, 1]",B,0,7,B,1,0,0,0,J,0,7,J,1,1,1,0,-999,-999,-999,-999,-999,-999,-999,-999,OQLRJVFBMUTAYDXGHIPKSZNE,EKBRZUVJPDAFOIHGTYSNQMLX,VNELPUXFJQYOKTBMRIZDSGHA,0,Hubert_14Jun2018_15-24_150soams.txt,150,2,1,1,NA,1
main,24,Hubert,allCued,0,left,3,"[1, 2, 0]",A,0,9,A,1,1,0,0,S,0,9,S,1,2,1,0,G,0,9,G,1,0,2,0,RTVQJFPNXGLASOKHIMDBZYUE,OELKMDZVXAJUPGSIQTNRFYHB,JILRYZHOPSGUVDNMTQBXKEFA,0,Hubert_14Jun2018_15-24_150soams.txt,150,3,1,1,1,1
